Date,Rate
2016-06-04,0.688891
2016-06-05,0.691152
2016-06-06,0.691999
2016-06-07,0.687857
2016-06-08,0.689124
2016-06-09,0.691446
2016-06-10,0.701358
2016-06-11,0.701358
2016-06-12,0.702975
2016-06-13,0.703859
2016-06-14,0.708665
2016-06-15,0.704392
2016-06-16,0.70368
2016-06-17,0.696445
2016-06-18,0.696445
2016-06-19,0.691204
2016-06-20,0.681114
2016-06-21,0.681982
2016-06-22,0.676263
2016-06-23,0.669428
2016-06-24,0.731488
2016-06-25,0.731488
2016-06-26,0.743452
2016-06-27,0.7563
2016-06-28,0.748678
2016-07-01,0.75343
2016-07-02,0.753338
2016-07-03,0.752785
2016-07-04,0.752878
2016-07-05,0.768423
2016-07-06,0.774705
2016-07-07,0.77523
2016-07-08,0.772123
2016-07-09,0.772123
2016-07-10,0.772845
2016-07-11,0.769668
2016-07-12,0.754655
2016-07-13,0.76209
2016-07-14,0.749475
2016-07-15,0.75832
2016-07-16,0.75832
2016-07-17,0.75466
2016-07-18,0.753848
2016-07-19,0.762733
2016-07-20,0.75417
2016-07-21,0.756083
2016-07-22,0.761133
2016-07-23,0.761133
2016-07-24,0.760008
2016-07-25,0.761333
2016-07-26,0.760668
2016-07-27,0.756018
2016-07-28,0.76016
2016-08-01,0.758543
2016-08-02,0.749375
2016-08-03,0.750515
2016-08-04,0.762223
2016-08-05,0.765003
2016-08-06,0.765003
2016-08-07,0.764673
2016-08-08,0.767043
2016-08-09,0.768878
2016-08-10,0.768163
2016-08-11,0.771845
2016-08-12,0.77392
2016-08-13,0.77392
2016-08-14,0.774848
2016-08-15,0.776195
2016-08-16,0.767508
2016-08-17,0.766693
2016-08-18,0.75989
2016-08-19,0.764785
2016-08-20,0.764785
2016-08-21,0.765265
2016-08-22,0.76138
2016-08-23,0.757815
2016-08-24,0.755508
2016-08-25,0.758068
2016-08-26,0.761203
2016-08-27,0.761203
2016-08-28,0.761483
2016-09-01,0.753395
2016-09-02,0.75217
2016-09-03,0.75217
2016-09-04,0.75219
2016-09-05,0.751813
2016-09-06,0.74513
2016-09-07,0.749803
2016-09-08,0.751643
2016-09-09,0.75363
2016-09-10,0.75363
2016-09-11,0.75377
2016-09-12,0.749823
2016-09-13,0.758045
2016-09-14,0.754033
2016-09-15,0.754923
2016-09-16,0.7691
2016-09-17,0.7691
2016-09-18,0.768423
2016-09-19,0.766803
2016-09-20,0.770028
2016-09-21,0.767393
2016-09-22,0.76432
2016-09-23,0.771235
2016-09-24,0.771235
2016-09-25,0.770418
2016-09-26,0.771038
2016-09-27,0.7683
2016-09-28,0.766745
2016-10-01,0.77056
2016-10-02,0.773478
2016-10-03,0.777895
2016-10-04,0.7854
2016-10-05,0.784053
2016-10-06,0.808183
2016-10-07,0.804165
2016-10-08,0.804165
2016-10-09,0.804238
2016-10-10,0.809413
2016-10-11,0.815488
2016-10-12,0.820245
2016-10-13,0.81687
2016-10-14,0.82041
